TITLE = "LBM Flow with Thermal Convection"
VARIABLES = "X", "Y", "U", "V", "Rho", "Temperature"
ZONE T="Step 4001", I=11, J=6, F=POINT
0 0 0.0495502 -0.00128558 10.7792 290.125
0 1 0.051141 -0.00408563 10.8173 282.482
0 2 0.0469693 -0.00251558 10.7938 282.205
0 3 0.0506975 -6.81495e-06 10.7692 281.553
0 4 0.0531735 -0.00743814 10.8164 281.885
0 5 0.0356484 -0.00649755 10.8625 282.783
1 0 0.0485694 -0.00554677 10.7968 295.123
1 1 0.0511073 -0.0023968 10.7655 286.457
1 2 0.0477999 -0.00440302 10.7833 285.212
1 3 0.0534198 -0.0126962 10.8411 286.59
1 4 0.0568803 -0.0110117 10.7976 285.017
1 5 0.0224124 -0.00204922 10.7278 286.342
2 0 0.0476277 -0.00695116 10.7963 296.06
2 1 0.0469443 -0.00517865 10.7881 291.444
2 2 0.0528275 -0.00499078 10.7876 289.507
2 3 0.0550915 -0.00811288 10.8013 288.706
2 4 0.049928 -0.00571177 10.8014 289.654
2 5 0.0179221 -0.000344782 10.7726 293.787
3 0 0.0468217 -0.00586545 10.7746 298.046
3 1 0.0471064 -0.0091773 10.8134 295.049
3 2 0.0544424 -0.0113724 10.8123 293.334
3 3 0.0519495 -0.00696414 10.7584 291.695
3 4 0.0413533 -0.000539939 10.7869 295.121
3 5 0.0184113 0.00138818 10.8416 301.401
4 0 0.0458844 -0.0102753 10.7911 300.203
4 1 0.0493348 -0.0094342 10.7813 298.591
4 2 0.0504058 -0.00825111 10.8017 296.635
4 3 0.0474294 -0.00589149 10.8102 297.473
4 4 0.0377839 -0.00431832 10.7895 301.342
4 5 0.0170357 -0.00169375 10.7928 307.142
5 0 0.0448627 -0.0121162 10.8101 301.226
5 1 0.0476614 -0.00944837 10.7877 301.743
5 2 0.0474172 -0.00789327 10.7818 300.854
5 3 0.0456456 -0.00821514 10.8233 303.142
5 4 0.0345917 -0.00484883 10.8064 309.159
5 5 0.0128583 -0.000576379 10.7628 315.184
6 0 0.0439957 -0.00816969 10.8015 303.789
6 1 0.0437941 -0.0086316 10.8254 307.435
6 2 0.0473536 -0.0072124 10.7948 306.303
6 3 0.0439373 -0.00446654 10.772 307.963
6 4 0.0299103 -0.00239189 10.8082 316.436
6 5 0.0100348 -0.000668286 10.8217 325.35
7 0 0.0431258 -0.0106216 10.7902 304.973
7 1 0.0428836 -0.0105481 10.8002 310.004
7 2 0.0441008 -0.00843606 10.8228 311.507
7 3 0.0380997 -0.00301935 10.792 315.313
7 4 0.026588 0.00177136 10.7814 323.905
7 5 0.0111186 0.00207272 10.8136 333.484
8 0 0.0421842 -0.00716807 10.8138 306.227
8 1 0.040857 -0.00303411 10.7811 313.287
8 2 0.0401695 -0.000578744 10.8044 317.533
8 3 0.0352004 -0.00444834 10.8354 325.436
8 4 0.0237349 -0.00604071 10.7987 334.076
8 5 0.0105624 -0.00192734 10.7649 341.828
9 0 0.0411146 0.0031044 10.8401 307.736
9 1 0.0370823 0.00146398 10.8335 318.881
9 2 0.0414909 0.000469271 10.778 324.112
9 3 0.0393941 -6.0054e-06 10.7817 330.928
9 4 0.0243814 -0.00231163 10.8161 342.598
9 5 0.00372635 -0.00202183 10.8105 351.609
10 0 0.0402836 0.00379422 10.8127 305.78
10 1 0.0368247 0.00359375 10.8274 318.146
10 2 0.042716 0.00305001 10.8087 325.051
10 3 0.0395182 0.00306917 10.7689 330.531
10 4 0.0237266 0.0045524 10.7842 341.934
10 5 0.00399553 0.00286112 10.8322 352.884
